query_id,resume_text,target_role_family,difficulty
32,Worked with reporting summaries and metrics reviews together with retention analysis and funnel analysis; the role centered on insight generation rather than dashboard operations.,analytics,hard
33,"Built Power BI dashboards, handled recurring reporting, and supported KPI tracking. Main responsibility was dashboard delivery and reporting workflows.",bi,easy
34,"Experience with executive dashboards, reporting workflows, and scheduled reports using SQL and Excel. Focused on KPI delivery.",bi,easy
35,"Maintained dashboard maintenance routines, stakeholder reporting, and reporting quality checks. Core work was recurring BI reporting.",bi,easy
36,"Built Power BI dashboards, handled recurring reporting, and supported KPI tracking. Main responsibility was dashboard delivery and reporting workflows.",bi,easy
37,"Worked on executive dashboards, SQL, and metric delivery. Also helped explain trends, but the main role centered on recurring reports and dashboard operations.",bi,medium
38,"Supported reporting workflows, source data validation, and dashboard refreshes for business teams. Main responsibility was reporting reliability.",bi,medium
39,Handled scheduled reports and KPI tracking while also joining business reviews; the job mainly focused on BI reporting delivery.,bi,medium
40,"Worked on executive dashboards, SQL, and metric delivery. Also helped explain trends, but the main role centered on recurring reports and dashboard operations.",bi,medium
41,"Built dashboards, tracked business trends, and supported stakeholder reviews, while owning recurring reporting and dashboard maintenance.",bi,hard
42,"Worked on KPI tracking, monthly reporting, and reporting governance; although some analysis language was involved, the role was primarily BI reporting.",bi,hard
43,"Supported stakeholder questions together with dashboards and metric delivery, but the main function of the role was recurring reporting operations.",bi,hard
44,"Built dashboards, tracked business trends, and supported stakeholder reviews, while owning recurring reporting and dashboard maintenance.",bi,hard
45,"Built ETL pipelines, Airflow orchestration, and dbt transformations. Main focus was reliable data delivery for analytics teams.",data_engineering,easy
46,"Experience with Spark jobs, data warehouse modeling, and batch pipelines using SQL and Python. Focused on data platform work.",data_engineering,easy
47,"Worked on Kafka ingestion, ELT pipelines, and pipeline monitoring. Core responsibility was building data infrastructure.",data_engineering,easy
48,"Built ETL pipelines, Airflow orchestration, and dbt transformations. Main focus was reliable data delivery for analytics teams.",data_engineering,easy
49,"Experience with Spark jobs, data warehouse modeling, and batch pipelines using SQL and Python. Focused on data platform work.",data_engineering,easy
50,"Worked on Kafka ingestion, ELT pipelines, and pipeline monitoring. Core responsibility was building data infrastructure.",data_engineering,easy
51,"Built Airflow orchestration, warehouse tables, and data reliability checks. Also collaborated with analytics teams, but the main role was pipeline engineering.",data_engineering,medium
52,"Used SQL, Python, and Spark jobs together with dbt transformations and data delivery for analytics consumption.",data_engineering,medium
53,"Worked on ETL pipelines and Snowflake warehouse layers, while also supporting downstream dashboards. Main focus stayed on infrastructure and orchestration.",data_engineering,medium
54,"Built Airflow orchestration, warehouse tables, and data reliability checks. Also collaborated with analytics teams, but the main role was pipeline engineering.",data_engineering,medium
55,"Used SQL, Python, and Spark jobs together with dbt transformations and data delivery for analytics consumption.",data_engineering,medium
56,"Worked on feature pipelines, ETL pipelines, and reporting delivery, but the primary responsibility was Airflow orchestration and data platform reliability.",data_engineering,hard
57,"Built data products with Spark jobs, warehouse tables, and pipeline monitoring, while also supporting analytics and ML consumers.",data_engineering,hard
58,Handled batch pipelines and SQL transformations together with downstream BI support; the role centered on data backbone work rather than reporting itself.,data_engineering,hard
59,"Worked on feature pipelines, ETL pipelines, and reporting delivery, but the primary responsibility was Airflow orchestration and data platform reliability.",data_engineering,hard
60,"Built data products with Spark jobs, warehouse tables, and pipeline monitoring, while also supporting analytics and ML consumers.",data_engineering,hard
61,"Worked on model deployment, model serving, and Dockerized model services. Main focus was productionizing machine learning systems.",ml_engineering,easy
62,"Experience with inference services, model monitoring, and Kubernetes for ML. Focused on operational ML infrastructure.",ml_engineering,easy
63,"Built training pipelines, feature stores, and CI/CD for ML workflows. Core work was model lifecycle reliability in production.",ml_engineering,easy
64,"Worked on model deployment, model serving, and Dockerized model services. Main focus was productionizing machine learning systems.",ml_engineering,easy
65,"Worked on model serving, batch inference, and experiment tracking. Also collaborated with data scientists, but most effort went into production ML systems.",ml_engineering,medium
66,"Used Python, Docker, and Kubernetes for ML together with model monitoring and online inference. Main focus was deploying and maintaining models.",ml_engineering,medium
67,Supported feature stores and training pipelines while improving serving reliability and deployment workflows for production models.,ml_engineering,medium
68,"Worked on model serving, batch inference, and experiment tracking. Also collaborated with data scientists, but most effort went into production ML systems.",ml_engineering,medium
69,"Handled training pipelines, deployment work, and feature pipeline coordination, but the main role was model serving and production monitoring.",ml_engineering,hard
70,"Worked on model lifecycle systems with online inference, CI/CD for ML, and Kubernetes; some experimentation support existed, though the job centered on production ML.",ml_engineering,hard
71,Built deployment workflows and inference services while also interfacing with data science teams; the core responsibility was ML systems in production.,ml_engineering,hard
72,"Handled training pipelines, deployment work, and feature pipeline coordination, but the main role was model serving and production monitoring.",ml_engineering,hard
