query_id,resume_text,target_role_family,difficulty
34,"Experience with funnel analysis, retention, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
35,"Worked on SQL analysis of product metrics, retention, and business performance. Built dashboards and translated results into recommendations for stakeholders.",analytics,easy
36,"Experience with user behavior, ad hoc analysis, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
37,"Worked on SQL analysis of campaign performance, a/b testing, and business performance. Built dashboards and translated results into recommendations for stakeholders.",analytics,easy
38,"Built dashboards and tracked KPIs, while focusing mainly on ad hoc analysis, funnel analysis, and ad hoc analysis for business teams.",analytics,medium
39,"Used SQL, Python, dashboards, and campaign performance to support product analysis. Also maintained dashboards, but most work involved interpreting behavior and running analysis.",analytics,medium
40,"Built dashboards and tracked KPIs, while focusing mainly on stakeholder recommendations, campaign performance, and ad hoc analysis for business teams.",analytics,medium
41,"Worked with a/b testing, segmentation, dashboards, KPI tracking, and recurring reporting, but the main focus was analysis for product and business decisions.",analytics,hard
42,"Used SQL, dashboards, and stakeholder reporting together with retention and user behavior to support growth and experimentation work.",analytics,hard
43,"Worked on SQL analysis of segmentation, dashboards, and business performance. Built dashboards and translated results into recommendations for stakeholders.",analytics,easy
44,"Experience with funnel analysis, retention, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
45,"Worked on SQL analysis of product metrics, retention, and business performance. Built dashboards and translated results into recommendations for stakeholders.",analytics,easy
46,"Experience with user behavior, ad hoc analysis, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
47,"Used SQL, Python, campaign performance, and a/b testing to support product analysis. Also maintained dashboards, but most work involved interpreting behavior and running analysis.",analytics,medium
48,"Built dashboards and tracked KPIs, while focusing mainly on ad hoc analysis, funnel analysis, and ad hoc analysis for business teams.",analytics,medium
49,"Used SQL, Python, dashboards, and campaign performance to support product analysis. Also maintained dashboards, but most work involved interpreting behavior and running analysis.",analytics,medium
50,"Used SQL, dashboards, and stakeholder reporting together with stakeholder recommendations and campaign performance to support growth and experimentation work.",analytics,hard
51,"Worked with a/b testing, segmentation, dashboards, KPI tracking, and recurring reporting, but the main focus was analysis for product and business decisions.",analytics,hard
52,"Experience with retention, user behavior, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
53,"Worked on SQL analysis of segmentation, dashboards, and business performance. Built dashboards and translated results into recommendations for stakeholders.",analytics,easy
54,"Experience with funnel analysis, retention, SQL, and dashboarding for product and growth teams. Focused on analysis, experimentation, and business insights.",analytics,easy
55,"Built Power BI dashboards, worked on dashboard maintenance, reporting, and recurring business reporting. Focused on KPI delivery and reporting workflows.",bi,easy
56,"Experience with SQL, Power BI, executive dashboards, and reporting workflows. Maintained business dashboards and supported recurring stakeholder reports.",bi,easy
57,"Built Power BI dashboards, worked on business intelligence, power bi, and recurring business reporting. Focused on KPI delivery and reporting workflows.",bi,easy
58,"Experience with SQL, Power BI, reporting workflows, and kpi tracking. Maintained business dashboards and supported recurring stakeholder reports.",bi,easy
59,"Worked on dashboards, KPI reporting, data quality, and business intelligence. Also helped interpret metrics, but most work centered on reporting operations.",bi,medium
60,"Maintained reporting pipelines and executive dashboards using SQL, Power BI, sql dashboards, and business intelligence.",bi,medium
61,"Worked on dashboards, KPI reporting, power bi, and recurring reports. Also helped interpret metrics, but most work centered on reporting operations.",bi,medium
62,"Worked with SQL, Power BI, reporting, and executive dashboards; combined business reporting responsibilities with some analytical interpretation of KPI movements.",bi,hard
63,"Built dashboards, tracked business trends, supported stakeholders, and worked on recurring reports and data quality, while owning recurring reporting delivery.",bi,hard
64,"Experience with SQL, Power BI, kpi tracking, and reporting. Maintained business dashboards and supported recurring stakeholder reports.",bi,easy
65,"Built Power BI dashboards, worked on dashboard maintenance, reporting, and recurring business reporting. Focused on KPI delivery and reporting workflows.",bi,easy
66,"Experience with SQL, Power BI, executive dashboards, and reporting workflows. Maintained business dashboards and supported recurring stakeholder reports.",bi,easy
67,"Built Power BI dashboards, worked on business intelligence, power bi, and recurring business reporting. Focused on KPI delivery and reporting workflows.",bi,easy
68,"Maintained reporting pipelines and executive dashboards using SQL, Power BI, reporting workflows, and kpi tracking.",bi,medium
69,"Worked on dashboards, KPI reporting, data quality, and business intelligence. Also helped interpret metrics, but most work centered on reporting operations.",bi,medium
70,"Maintained reporting pipelines and executive dashboards using SQL, Power BI, sql dashboards, and business intelligence.",bi,medium
71,"Built dashboards, tracked business trends, supported stakeholders, and worked on power bi and recurring reports, while owning recurring reporting delivery.",bi,hard
72,"Worked with SQL, Power BI, reporting, and executive dashboards; combined business reporting responsibilities with some analytical interpretation of KPI movements.",bi,hard
