job_id,title,company,location,description,skills,role_family
21,Data Science Intern,InsightRiver,Paris,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
22,Junior Data Scientist,UserScope,Barcelona,"As a member of the analytics organization, you will explore features and communicate model findings to stakeholders. The role focuses on machine learning, model evaluation, and predictive analytics.",python;nlp;pandas;machine learning;statistics,data_science
23,Applied Data Scientist Intern,GrowthLayer,Prague,"As a member of the analytics organization, you will analyze experiments and support forecasting initiatives. You will work closely with data scientists on experimentation and model performance.",python;classification;regression;sql;pandas,data_science
24,Predictive Analytics Intern,ForecastIQ,Lisbon,"As a member of the analytics organization, you will work with structured data to improve model-driven decision making. The internship includes feature engineering, statistical analysis, and model reporting.",python;predictive modeling;experimentation;statistics;sql,data_science
25,Machine Learning Analyst Intern,OpsVista,Stockholm,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
26,Data Science Intern,RetailPulse,Zurich,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
27,Junior Data Scientist,FinEdge,Amsterdam,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
28,Applied Data Scientist Intern,MarketPilot,Madrid,"As a member of the analytics organization, you will explore features and communicate model findings to stakeholders. The role focuses on machine learning, model evaluation, and predictive analytics.",python;nlp;pandas;machine learning;statistics,data_science
29,Predictive Analytics Intern,CloudLedger,Vienna,"As a member of the analytics organization, you will analyze experiments and support forecasting initiatives. You will work closely with data scientists on experimentation and model performance.",python;classification;regression;sql;pandas,data_science
30,Machine Learning Analyst Intern,HealthOrbit,Brussels,"As a member of the analytics organization, you will work with structured data to improve model-driven decision making. The internship includes feature engineering, statistical analysis, and model reporting.",python;predictive modeling;experimentation;statistics;sql,data_science
31,Data Science Intern,FleetPulse,Copenhagen,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
32,Junior Data Scientist,CommerceNest,Helsinki,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
33,Applied Data Scientist Intern,BrightScale,Berlin,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
34,Predictive Analytics Intern,NovaRetail,Dublin,"As a member of the analytics organization, you will explore features and communicate model findings to stakeholders. The role focuses on machine learning, model evaluation, and predictive analytics.",python;nlp;pandas;machine learning;statistics,data_science
35,Machine Learning Analyst Intern,SwiftCart,Munich,"As a member of the analytics organization, you will analyze experiments and support forecasting initiatives. You will work closely with data scientists on experimentation and model performance.",python;classification;regression;sql;pandas,data_science
36,Data Science Intern,AtlasOps,Warsaw,"As a member of the analytics organization, you will work with structured data to improve model-driven decision making. The internship includes feature engineering, statistical analysis, and model reporting.",python;predictive modeling;experimentation;statistics;sql,data_science
37,Junior Data Scientist,RiskBeacon,Milan,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
38,Applied Data Scientist Intern,PulseStack,Oslo,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
39,Predictive Analytics Intern,OrbitLogic,London,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
40,Machine Learning Analyst Intern,GraphMint,Paris,"As a member of the analytics organization, you will explore features and communicate model findings to stakeholders. The role focuses on machine learning, model evaluation, and predictive analytics.",python;nlp;pandas;machine learning;statistics,data_science
41,Data Science Intern,SignalPath,Barcelona,"As a member of the analytics organization, you will analyze experiments and support forecasting initiatives. You will work closely with data scientists on experimentation and model performance.",python;classification;regression;sql;pandas,data_science
42,Junior Data Scientist,MetricFlow,Prague,"As a member of the analytics organization, you will work with structured data to improve model-driven decision making. The internship includes feature engineering, statistical analysis, and model reporting.",python;predictive modeling;experimentation;statistics;sql,data_science
43,Applied Data Scientist Intern,InsightHub,Lisbon,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
44,Predictive Analytics Intern,BluePeak,Stockholm,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
45,Machine Learning Analyst Intern,DashWorks,Zurich,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
46,Data Analyst Intern,LumenData,Lisbon,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
47,Product Analyst Intern,DataHarbor,Stockholm,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
48,Business Analyst Intern,NorthGrid,Zurich,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
49,Marketing Analyst Intern,UrbanMetrics,Amsterdam,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
50,Growth Analyst Intern,PeakIntel,Madrid,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
51,Analytics Intern,ClickSense,Vienna,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
52,Data Analyst Intern,AlgoBridge,Brussels,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
53,Product Analyst Intern,ModelForge,Copenhagen,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
54,Business Analyst Intern,SupplyMind,Helsinki,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
55,Marketing Analyst Intern,AdMetric,Berlin,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
56,Growth Analyst Intern,InsightRiver,Dublin,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
57,Analytics Intern,UserScope,Munich,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
58,Data Analyst Intern,GrowthLayer,Warsaw,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
59,Product Analyst Intern,ForecastIQ,Milan,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
60,Business Analyst Intern,OpsVista,Oslo,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
61,Marketing Analyst Intern,RetailPulse,London,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
62,Growth Analyst Intern,FinEdge,Paris,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
63,Analytics Intern,MarketPilot,Barcelona,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
64,Data Analyst Intern,CloudLedger,Prague,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
65,Product Analyst Intern,HealthOrbit,Lisbon,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
66,Business Analyst Intern,FleetPulse,Stockholm,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
67,Marketing Analyst Intern,CommerceNest,Zurich,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
68,Growth Analyst Intern,BrightScale,Amsterdam,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
69,Analytics Intern,NovaRetail,Madrid,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
70,Data Analyst Intern,SwiftCart,Vienna,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
71,Product Analyst Intern,AtlasOps,Brussels,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
72,Business Analyst Intern,RiskBeacon,Copenhagen,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
73,Marketing Analyst Intern,PulseStack,Helsinki,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
74,Growth Analyst Intern,OrbitLogic,Berlin,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
75,Analytics Intern,GraphMint,Dublin,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
76,Data Analyst Intern,SignalPath,Munich,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
77,Product Analyst Intern,MetricFlow,Warsaw,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
78,Business Analyst Intern,InsightHub,Milan,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
79,Marketing Analyst Intern,BluePeak,Oslo,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
80,Growth Analyst Intern,DashWorks,London,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
81,Analytics Intern,QuantNova,Paris,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
82,Data Analyst Intern,VisionData,Barcelona,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
83,Product Analyst Intern,CoreSignals,Prague,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
84,Business Analyst Intern,TrendLoop,Lisbon,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
85,Marketing Analyst Intern,NexaAI,Stockholm,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
86,Growth Analyst Intern,LumenData,Zurich,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
87,Analytics Intern,DataHarbor,Amsterdam,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
88,Data Analyst Intern,NorthGrid,Madrid,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
89,Product Analyst Intern,UrbanMetrics,Vienna,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
90,Business Analyst Intern,PeakIntel,Brussels,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
91,Marketing Analyst Intern,ClickSense,Copenhagen,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
92,Growth Analyst Intern,AlgoBridge,Helsinki,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
93,Analytics Intern,ModelForge,Berlin,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
94,Data Analyst Intern,SupplyMind,Dublin,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
95,Product Analyst Intern,AdMetric,Munich,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
96,Business Analyst Intern,InsightRiver,Warsaw,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
97,Marketing Analyst Intern,UserScope,Milan,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
98,Growth Analyst Intern,GrowthLayer,Oslo,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
99,Analytics Intern,ForecastIQ,London,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
100,Data Analyst Intern,OpsVista,Paris,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
101,Product Analyst Intern,RetailPulse,Barcelona,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
102,Business Analyst Intern,FinEdge,Prague,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
103,Marketing Analyst Intern,MarketPilot,Lisbon,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
104,Growth Analyst Intern,CloudLedger,Stockholm,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
105,Analytics Intern,HealthOrbit,Zurich,"In this role, you will track KPIs and explain performance changes using SQL and dashboards. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;business analysis;kpi tracking,analytics
106,Data Analyst Intern,FleetPulse,Amsterdam,"In this role, you will analyze user behavior and identify business trends in retail. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;ab testing;product analytics,analytics
107,Product Analyst Intern,CommerceNest,Madrid,"In this role, you will support A/B testing and product decision-making with quantitative analysis. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;retention;segmentation;dashboards,analytics
108,Business Analyst Intern,BrightScale,Vienna,"In this role, you will build dashboards and generate insights for growth and product teams. The internship emphasizes metrics analysis, stakeholder questions, and decision support.",sql;excel;campaign performance;marketing analytics;stakeholder communication,analytics
109,Marketing Analyst Intern,NovaRetail,Brussels,"In this role, you will measure campaign or funnel performance and communicate recommendations. The role focuses on analysis, experimentation, and insight generation rather than reporting operations.",sql;python;funnel analysis;user behavior;retention,analytics
110,Growth Analyst Intern,SwiftCart,Copenhagen,"In this role, you will perform ad hoc analysis for stakeholders across business teams. You will collaborate with product and business teams to interpret trends and recommend actions.",sql;tableau;dashboards;stakeholder communication;ab testing,analytics
111,BI Analyst Intern,InsightRiver,Madrid,"In this internship, you will maintain recurring reports and KPI dashboards for logistics teams. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;reporting;kpi monitoring,bi
112,Reporting Analyst Intern,UserScope,Vienna,"In this internship, you will support business intelligence workflows and executive reporting. You will support KPI reporting workflows and recurring business reviews.",sql;excel;business intelligence;dashboards;reporting,bi
113,Business Intelligence Intern,GrowthLayer,Brussels,"In this internship, you will build and refresh dashboards used in weekly business reviews. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;reporting;data quality;executive dashboards;kpi monitoring,bi
114,Dashboard Analyst Intern,ForecastIQ,Copenhagen,"In this internship, you will monitor reporting quality and validate source data for dashboards. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;recurring reports;dashboard maintenance,bi
115,KPI Reporting Analyst,OpsVista,Helsinki,"In this internship, you will support reporting pipelines and recurring stakeholder updates. You will support KPI reporting workflows and recurring business reviews.",sql;excel;reporting workflows;kpis,bi
116,BI Analyst Intern,RetailPulse,Berlin,"In this internship, you will own dashboard maintenance and KPI reporting for business teams. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;business intelligence;stakeholder reporting;sql;excel,bi
117,Reporting Analyst Intern,FinEdge,Dublin,"In this internship, you will maintain recurring reports and KPI dashboards for logistics teams. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;reporting;kpi monitoring,bi
118,Business Intelligence Intern,MarketPilot,Munich,"In this internship, you will support business intelligence workflows and executive reporting. You will support KPI reporting workflows and recurring business reviews.",sql;excel;business intelligence;dashboards;reporting,bi
119,Dashboard Analyst Intern,CloudLedger,Warsaw,"In this internship, you will build and refresh dashboards used in weekly business reviews. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;reporting;data quality;executive dashboards;kpi monitoring,bi
120,KPI Reporting Analyst,HealthOrbit,Milan,"In this internship, you will monitor reporting quality and validate source data for dashboards. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;recurring reports;dashboard maintenance,bi
121,BI Analyst Intern,FleetPulse,Oslo,"In this internship, you will support reporting pipelines and recurring stakeholder updates. You will support KPI reporting workflows and recurring business reviews.",sql;excel;reporting workflows;kpis,bi
122,Reporting Analyst Intern,CommerceNest,London,"In this internship, you will own dashboard maintenance and KPI reporting for business teams. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;business intelligence;stakeholder reporting;sql;excel,bi
123,Business Intelligence Intern,BrightScale,Paris,"In this internship, you will maintain recurring reports and KPI dashboards for logistics teams. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;reporting;kpi monitoring,bi
124,Dashboard Analyst Intern,NovaRetail,Barcelona,"In this internship, you will support business intelligence workflows and executive reporting. You will support KPI reporting workflows and recurring business reviews.",sql;excel;business intelligence;dashboards;reporting,bi
125,KPI Reporting Analyst,SwiftCart,Prague,"In this internship, you will build and refresh dashboards used in weekly business reviews. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;reporting;data quality;executive dashboards;kpi monitoring,bi
126,BI Analyst Intern,AtlasOps,Lisbon,"In this internship, you will monitor reporting quality and validate source data for dashboards. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;recurring reports;dashboard maintenance,bi
127,Reporting Analyst Intern,RiskBeacon,Stockholm,"In this internship, you will support reporting pipelines and recurring stakeholder updates. You will support KPI reporting workflows and recurring business reviews.",sql;excel;reporting workflows;kpis,bi
128,Business Intelligence Intern,PulseStack,Zurich,"In this internship, you will own dashboard maintenance and KPI reporting for business teams. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;business intelligence;stakeholder reporting;sql;excel,bi
129,Dashboard Analyst Intern,OrbitLogic,Amsterdam,"In this internship, you will maintain recurring reports and KPI dashboards for logistics teams. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;reporting;kpi monitoring,bi
130,KPI Reporting Analyst,GraphMint,Madrid,"In this internship, you will support business intelligence workflows and executive reporting. You will support KPI reporting workflows and recurring business reviews.",sql;excel;business intelligence;dashboards;reporting,bi
131,BI Analyst Intern,SignalPath,Vienna,"In this internship, you will build and refresh dashboards used in weekly business reviews. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;reporting;data quality;executive dashboards;kpi monitoring,bi
132,Reporting Analyst Intern,MetricFlow,Brussels,"In this internship, you will monitor reporting quality and validate source data for dashboards. The role focuses on recurring reporting, dashboard operations, and business intelligence delivery.",sql;power bi;recurring reports;dashboard maintenance,bi
133,Business Intelligence Intern,InsightHub,Copenhagen,"In this internship, you will support reporting pipelines and recurring stakeholder updates. You will support KPI reporting workflows and recurring business reviews.",sql;excel;reporting workflows;kpis,bi
134,Dashboard Analyst Intern,BluePeak,Helsinki,"In this internship, you will own dashboard maintenance and KPI reporting for business teams. The internship emphasizes reporting reliability, dashboard upkeep, and executive visibility.",power bi;business intelligence;stakeholder reporting;sql;excel,bi
