job_id,title,company,location,description,skills,role_family,raw_title,title_short,country,schedule_type,work_from_home,source
18,Data Scientist,Talently,"Temuco, Chile","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Chile. Skills: excel, numpy, pandas, python, sql, tableau, tensorflow.",excel;numpy;pandas;python;sql;tableau;tensorflow,data_science,Data Scientist,Data Scientist,Chile,Full-time,False,lukebarousse/data_jobs
19,"Data Scientist, Risk Data Mining - USDS",TikTok,"Mountain View, CA","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: express, python, r, sql.",express;python;r;sql,data_science,"Data Scientist, Risk Data Mining - USDS",Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
20,Data Scientist,Avangarde Consulting,"Rome, Metropolitan City of Rome Capital, Italy","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Italy. Skills: java, python, r, sql.",java;python;r;sql,data_science,Data Scientist,Data Scientist,Italy,Full-time,False,lukebarousse/data_jobs
21,Data Scientist,University of Colorado Anschutz Medical Campus,"Aurora, CO","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Sudan. Skills: aurora, bash, docker, git, linux, matplotlib, numpy, pandas, python, sql.",aurora;bash;docker;git;linux;matplotlib;numpy;pandas;python;sql,data_science,Data Scientist,Data Scientist,Sudan,Full-time,False,lukebarousse/data_jobs
22,Data Scientist,Stantec,"Atlanta, GA","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: c#, python, r, sql.",c#;python;r;sql,data_science,Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
23,Azure Big Data Engineer,FHIOS Smart Knowledge,"Madrid, Spain","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Spain. Skills: azure, scala.",azure;scala,data_science,Azure Big Data Engineer,Data Scientist,Spain,Full-time,False,lukebarousse/data_jobs
24,Data Scientist,4 Corner Resources,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: United States. Skills: hadoop, python, r, spark, sql, t-sql, tableau.",hadoop;python;r;spark;sql;t-sql;tableau,data_science,Data Scientist,Data Scientist,United States,Full-time,True,lukebarousse/data_jobs
25,Global Data Scientist,Kimberly-Clark,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: United States. Skills: azure, excel, power bi, powerpoint, python, r, sap, snowflake, sql.",azure;excel;power bi;powerpoint;python;r;sap;snowflake;sql,data_science,Global Data Scientist,Data Scientist,United States,Full-time,True,lukebarousse/data_jobs
26,DATA SCIENTIST,Joboss,"Madrid, Spain","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Spain. Skills: git, hadoop, jira, python, r, spark, sql.",git;hadoop;jira;python;r;spark;sql,data_science,DATA SCIENTIST,Data Scientist,Spain,Full-time,False,lukebarousse/data_jobs
27,Data Scientist,LotusFlare,"Sunnyvale, CA","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: aws, nosql, python, sql.",aws;nosql;python;sql,data_science,Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
28,Data Scientist Senior,Alaya Digital Solutions,"Santiago, Chile","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: Chile. Skills: aws, azure, matlab, python, sql.",aws;azure;matlab;python;sql,data_science,Data Scientist Senior,Senior Data Scientist,Chile,Full-time,False,lukebarousse/data_jobs
29,Mid/ Senior Data Scientist with NLP,Trans.eu Group,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Poland. Skills: airflow, aws, git, keras, pyspark, python, pytorch, scikit-learn, snowflake, sql, tensorflow.",airflow;aws;git;keras;pyspark;python;pytorch;scikit-learn;snowflake;sql;tensorflow,data_science,Mid/ Senior Data Scientist with NLP,Data Scientist,Poland,Full-time,True,lukebarousse/data_jobs
30,Senior Data Scientist,Ratepay,"Berlin, Germany","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: Germany. Skills: aws, python, sql, word.",aws;python;sql;word,data_science,Senior Data Scientist,Senior Data Scientist,Germany,Full-time,False,lukebarousse/data_jobs
31,Data Science Team Lead,StepStone Group,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: United Kingdom. Skills: docker, react.",docker;react,data_science,Data Science Team Lead,Data Scientist,United Kingdom,Full-time,True,lukebarousse/data_jobs
32,Data Scientist I,Truist Inc,"Charlotte, NC","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: hadoop, jquery, nosql, python, r, sas, spark, sql.",hadoop;jquery;nosql;python;r;sas;spark;sql,data_science,Data Scientist I,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
33,Data scientist - Actuaire Réassurance (H/F),ACM GIE,"Strasbourg, France","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: France. Skills: sas, vba.",sas;vba,data_science,Data scientist - Actuaire Réassurance (H/F),Data Scientist,France,Full-time,False,lukebarousse/data_jobs
34,Data Scientist,MAS Management Network,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Italy. Skills: airflow, gcp, github, microstrategy, oracle, power bi, sql.",airflow;gcp;github;microstrategy;oracle;power bi;sql,data_science,Data Scientist,Data Scientist,Italy,Full-time,True,lukebarousse/data_jobs
35,"Mission Data Scientist, Senior - Security Clearance Required",Booz Allen Hamilton,"Fayetteville, NC","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: docker, kubernetes, pandas, postgresql, python, r, splunk, tableau.",docker;kubernetes;pandas;postgresql;python;r;splunk;tableau,data_science,"Mission Data Scientist, Senior - Security Clearance Required",Senior Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
36,"Data Scientist, Mid Jobs",Booz Allen Hamilton,"Washington, DC","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: aws, azure, c++, docker, hadoop, java, kubernetes, python, r, spark.",aws;azure;c++;docker;hadoop;java;kubernetes;python;r;spark,data_science,"Data Scientist, Mid Jobs",Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
37,Data Scientist Manager,Deloitte,Luxembourg,Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Luxembourg. Skills: sql.,sql,data_science,Data Scientist Manager,Data Scientist,Luxembourg,Full-time,False,lukebarousse/data_jobs
38,"Digital Analyst, Innovation",Cathay Pacific Airways Ltd,Hong Kong,"Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Hong Kong. Skills: confluence, jira.",confluence;jira,data_science,"Digital Analyst, Innovation",Data Scientist,Hong Kong,Full-time,False,lukebarousse/data_jobs
39,Senior Data Scientist,The Trade Desk,"London, UK","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: United Kingdom. Skills: java, python, scala, spark, sql.",java;python;scala;spark;sql,data_science,Senior Data Scientist,Senior Data Scientist,United Kingdom,Full-time,False,lukebarousse/data_jobs
40,Biostatistician / Data Scientist,Leidos,"College Park, MD",Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: r.,r,data_science,Biostatistician / Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
41,Senior Data Scientist,TRM Labs,Anywhere,"Title short: Senior Data Scientist. Schedule: Full-time. Remote: True. Country: Sudan. Skills: git, python, sql.",git;python;sql,data_science,Senior Data Scientist,Senior Data Scientist,Sudan,Full-time,True,lukebarousse/data_jobs
42,Data Scientist (f/m/d) | Recommendation,eduki,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Germany. Skills: go, python, sql, windows.",go;python;sql;windows,data_science,Data Scientist (f/m/d) | Recommendation,Data Scientist,Germany,Full-time,True,lukebarousse/data_jobs
43,"Associate Director - Data Scientist, Ex-US Omni Channel",Gilead Sciences,"Foster City, CA",Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: aws.,aws,data_science,"Associate Director - Data Scientist, Ex-US Omni Channel",Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
44,"Data / AI Scientist (Boston, MA)",Takeda,"Lexington, KY","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: confluence, databricks, jira, python, r, spark.",confluence;databricks;jira;python;r;spark,data_science,"Data / AI Scientist (Boston, MA)",Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
45,NATOIS-0008 Data Scientist (NS) - TUE 13 Jun,"EMW, Inc.","Brussels, Belgium","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Belgium. Skills: aws, azure, c, hadoop, python, r, sql, tableau.",aws;azure;c;hadoop;python;r;sql;tableau,data_science,NATOIS-0008 Data Scientist (NS) - TUE 13 Jun,Data Scientist,Belgium,Full-time,False,lukebarousse/data_jobs
46,Data Scientist,JobLeads GmbH,"Milan, Metropolitan City of Milan, Italy","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Italy. Skills: alteryx, c++, github, java, power bi, python, r, sap, scala, shell, sql.",alteryx;c++;github;java;power bi;python;r;sap;scala;shell;sql,data_science,Data Scientist,Data Scientist,Italy,Full-time,False,lukebarousse/data_jobs
47,Senior Clinical Data Scientist with focus on Statistical Programming,"Boehringer Ingelheim Pharmaceuticals, Inc",Anywhere,"Title short: Senior Data Scientist. Schedule: Full-time. Remote: True. Country: United States. Skills: r, sas.",r;sas,data_science,Senior Clinical Data Scientist with focus on Statistical Programming,Senior Data Scientist,United States,Full-time,True,lukebarousse/data_jobs
48,Power BI Data Analytics & Data Scientist,Emerson,"Maharashtra, India",Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: India. Skills: power bi.,power bi,data_science,Power BI Data Analytics & Data Scientist,Data Scientist,India,Full-time,False,lukebarousse/data_jobs
49,Data Scientist,Nesine.com,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Turkey. Skills: elasticsearch, hadoop, kafka, keras, nosql, numpy, python, pytorch, scikit-learn, spark, sql, tableau, tensorflow.",elasticsearch;hadoop;kafka;keras;nosql;numpy;python;pytorch;scikit-learn;spark;sql;tableau;tensorflow,data_science,Data Scientist,Data Scientist,Turkey,Full-time,True,lukebarousse/data_jobs
50,Data Scientist,Kforce Inc,"Lewisville, TX","Title short: Data Scientist. Schedule: Contractor. Remote: False. Country: Sudan. Skills: matlab, python, r, sas, snowflake, sql.",matlab;python;r;sas;snowflake;sql,data_science,Data Scientist,Data Scientist,Sudan,Contractor,False,lukebarousse/data_jobs
51,Senior Bioinformatics Research Scientist- Data Scientist,St. Jude Children's Research Hospital,"Brighton, TN","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: electron, r.",electron;r,data_science,Senior Bioinformatics Research Scientist- Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
52,Data Scientist Technology Risk (w/m/d),Ernst & Young GmbH,"Munich, Germany","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Germany. Skills: excel, outlook, powerpoint, word.",excel;outlook;powerpoint;word,data_science,Data Scientist Technology Risk (w/m/d),Data Scientist,Germany,Full-time,False,lukebarousse/data_jobs
53,Sr. Data Scientist,McKesson,"Dallas, TX","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: azure, databricks, hadoop, nltk, pandas, pyspark, python, spark.",azure;databricks;hadoop;nltk;pandas;pyspark;python;spark,data_science,Sr. Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
54,Data Scientist (m/w/d),Deutsche Bundesbank,"Frankfurt, Germany","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Germany. Skills: aws, azure, java, python, r, sql.",aws;azure;java;python;r;sql,data_science,Data Scientist (m/w/d),Data Scientist,Germany,Full-time,False,lukebarousse/data_jobs
55,Chatbot Data Scientist,Futuri,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: United States. Skills: aws, excel, git, javascript, mysql, nosql, python.",aws;excel;git;javascript;mysql;nosql;python,data_science,Chatbot Data Scientist,Data Scientist,United States,Full-time,True,lukebarousse/data_jobs
56,Mid level Data Scientist,HireMeFast LLC - Career Accelerator - Land A Job,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Canada. Skills: aws, gcp, python, r, sql.",aws;gcp;python;r;sql,data_science,Mid level Data Scientist,Data Scientist,Canada,Full-time,True,lukebarousse/data_jobs
57,Senior Data Scientist,DESAISIV,"Amman, Jordan","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: Jordan. Skills: aws, azure, matplotlib, pandas, python, r, scala.",aws;azure;matplotlib;pandas;python;r;scala,data_science,Senior Data Scientist,Senior Data Scientist,Jordan,Full-time,False,lukebarousse/data_jobs
58,"Senior Data Scientist, Marketing",Vinted,"Amsterdam, Netherlands","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: Netherlands. Skills: looker, python, r, sql, tableau.",looker;python;r;sql;tableau,data_science,"Senior Data Scientist, Marketing",Senior Data Scientist,Netherlands,Full-time,False,lukebarousse/data_jobs
59,"Data Scientist, Liquidity Management",Stripe,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Sudan. Skills: c++, matlab, python, r, spark, sql.",c++;matlab;python;r;spark;sql,data_science,"Data Scientist, Liquidity Management",Data Scientist,Sudan,Full-time,True,lukebarousse/data_jobs
60,Data Scientist 3 (8783) Jobs,HII Mission Technologies,"Fort Meade, MD",Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: go.,go,data_science,Data Scientist 3 (8783) Jobs,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
61,Data Scientist,SoKat,"Washington, DC","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: aws, python, sql.",aws;python;sql,data_science,Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
62,Compensation HCM Analyst,Flexential,Texas,Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Sudan. Skills: excel.,excel,data_science,Compensation HCM Analyst,Data Scientist,Sudan,Full-time,False,lukebarousse/data_jobs
63,Marketing Data Scientist,Smartly Video and Display,"Taguig, Metro Manila, Philippines","Title short: Data Scientist. Schedule: nan. Remote: False. Country: Philippines. Skills: python, r, sql.",python;r;sql,data_science,Marketing Data Scientist,Data Scientist,Philippines,,False,lukebarousse/data_jobs
64,"Lead Data Scientist (Bangkok based, relocation provided)",Agoda,"Atlanta, GA","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: pyspark, python, scala, sql.",pyspark;python;scala;sql,data_science,"Lead Data Scientist (Bangkok based, relocation provided)",Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
65,Geospatial Intelligence Analyst,Fire and Emergency New Zealand,"Wellington, New Zealand","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: New Zealand. Skills: python, sql, sql server.",python;sql;sql server,data_science,Geospatial Intelligence Analyst,Data Scientist,New Zealand,Full-time,False,lukebarousse/data_jobs
66,Analytics Engineer,Epidemic Sound,"Stockholm, Sweden","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Sweden. Skills: airflow, aws, bigquery, gcp, looker, python, snowflake, sql, terraform.",airflow;aws;bigquery;gcp;looker;python;snowflake;sql;terraform,data_science,Analytics Engineer,Data Scientist,Sweden,Full-time,False,lukebarousse/data_jobs
67,Senior Data Scientist,CAE,"Orlando, FL","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: aws, azure, c, hadoop, kafka, matlab, nosql, python, r, sas, sql, tensorflow.",aws;azure;c;hadoop;kafka;matlab;nosql;python;r;sas;sql;tensorflow,data_science,Senior Data Scientist,Senior Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
68,Senior Data Scientist,MMS,"Miami, FL","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: java, julia, power bi, python, r.",java;julia;power bi;python;r,data_science,Senior Data Scientist,Senior Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
69,Full Stack Data Scientist,Professional Engineering Consultants,"Wichita, KS","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: angular, asp.net, c#, css, fortran, java, javascript, jquery, mongodb, mysql, node.js, php, python, r, react, sql.",angular;asp.net;c#;css;fortran;java;javascript;jquery;mongodb;mysql;node.js;php;python;r;react;sql,data_science,Full Stack Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
70,Forecasting Analyst,Straive,Anywhere,Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: India. Skills: excel.,excel,data_science,Forecasting Analyst,Data Scientist,India,Full-time,True,lukebarousse/data_jobs
71,Data Scientist/Architect,Keysight Technologies,Singapore,"Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Singapore. Skills: mongo, mongodb, nosql.",mongo;mongodb;nosql,data_science,Data Scientist/Architect,Data Scientist,Singapore,Full-time,False,lukebarousse/data_jobs
72,Data Scientist,Médiane Système,"Brussels, Belgium","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Belgium. Skills: hadoop, kafka, python, spark.",hadoop;kafka;python;spark,data_science,Data Scientist,Data Scientist,Belgium,Full-time,False,lukebarousse/data_jobs
73,Modeller Data Scientist,Nestlé,"Esplugues de Llobregat, Spain","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Spain. Skills: excel, python, r, sql.",excel;python;r;sql,data_science,Modeller Data Scientist,Data Scientist,Spain,Full-time,False,lukebarousse/data_jobs
74,Senior Big Data Engineer/Data Scientist,"ECS Federal, LLC","Washington, DC","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: git, linux, python, r.",git;linux;python;r,data_science,Senior Big Data Engineer/Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
75,Head of Data Science at Hire Resolve,Hire Resolve,South Africa,Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: South Africa. Skills: c.,c,data_science,Head of Data Science at Hire Resolve,Data Scientist,South Africa,Full-time,False,lukebarousse/data_jobs
76,ML & Data Science - Working Student - B2B Solutions,JustWatch,Anywhere,"Title short: Data Scientist. Schedule: Part-time. Remote: True. Country: Germany. Skills: python, pytorch, snowflake.",python;pytorch;snowflake,data_science,ML & Data Science - Working Student - B2B Solutions,Data Scientist,Germany,Part-time,True,lukebarousse/data_jobs
77,Business analist/Data scientist,Gemeente Amsterdam,"Amsterdam, Netherlands",Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Netherlands. Skills: word.,word,data_science,Business analist/Data scientist,Data Scientist,Netherlands,Full-time,False,lukebarousse/data_jobs
78,Data Scientist/Analyst,Peraton,United States,Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: python.,python,data_science,Data Scientist/Analyst,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
79,Data Scientist,Deloitte,"Atlanta, GA","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: aws, azure, docker, gcp, jupyter, keras, pandas, python, pytorch, scikit-learn, tensorflow.",aws;azure;docker;gcp;jupyter;keras;pandas;python;pytorch;scikit-learn;tensorflow,data_science,Data Scientist,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
80,Junior Data Scientist,Arkin,"Rotterdam, Netherlands","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Netherlands. Skills: python, sql, word.",python;sql;word,data_science,Junior Data Scientist,Data Scientist,Netherlands,Full-time,False,lukebarousse/data_jobs
81,"Anaplan Consultant, Strategic Analytics - Data Science",Deloitte,"Panama City, FL","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: datarobot, excel, outlook, powerpoint, python, r, sql, tableau.",datarobot;excel;outlook;powerpoint;python;r;sql;tableau,data_science,"Anaplan Consultant, Strategic Analytics - Data Science",Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
82,Data Scientist,Digital India Corporation,"New Delhi, Delhi, India","Title short: Data Scientist. Schedule: Contractor. Remote: False. Country: India. Skills: excel, powerpoint, sas, sql, tableau.",excel;powerpoint;sas;sql;tableau,data_science,Data Scientist,Data Scientist,India,Contractor,False,lukebarousse/data_jobs
83,Data Scientist,Magna International,India,"Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: India. Skills: azure, databricks, gdpr, power bi, unity.",azure;databricks;gdpr;power bi;unity,data_science,Data Scientist,Data Scientist,India,Full-time,False,lukebarousse/data_jobs
84,Lead AI Speech Data Scientist,TIGI HR ®,"Bengaluru, Karnataka, India","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: India. Skills: aws, bash, c++, gcp, java, python, pytorch, tensorflow.",aws;bash;c++;gcp;java;python;pytorch;tensorflow,data_science,Lead AI Speech Data Scientist,Data Scientist,India,Full-time,False,lukebarousse/data_jobs
85,Data Scientist,PublicisGroupe,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Malaysia. Skills: aws, hadoop, linux, python, r, spark, sql.",aws;hadoop;linux;python;r;spark;sql,data_science,Data Scientist,Data Scientist,Malaysia,Full-time,False,lukebarousse/data_jobs
86,"Manager/Assistant Manager (Data Scientist/Engineer), SCALE ...",National University of Singapore,Singapore,"Title short: Data Engineer. Schedule: Full-time. Remote: False. Country: Singapore. Skills: numpy, pandas, power bi, python, qlik, sql, tableau.",numpy;pandas;power bi;python;qlik;sql;tableau,data_science,"Manager/Assistant Manager (Data Scientist/Engineer), SCALE ...",Data Engineer,Singapore,Full-time,False,lukebarousse/data_jobs
87,Data Scientist - Business Analytics - Chase,Jobleads-UK,"London, UK","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United Kingdom. Skills: python, sql.",python;sql,data_science,Data Scientist - Business Analytics - Chase,Data Scientist,United Kingdom,Full-time,False,lukebarousse/data_jobs
88,Data Scientist III,Conduent,Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Sudan. Skills: azure, sql, ssis.",azure;sql;ssis,data_science,Data Scientist III,Data Scientist,Sudan,Full-time,True,lukebarousse/data_jobs
89,Senior People Analytics and Surveys Specialist - Remote,Hempel A/S,Anywhere,Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Poland. Skills: r.,r,data_science,Senior People Analytics and Surveys Specialist - Remote,Data Scientist,Poland,Full-time,True,lukebarousse/data_jobs
